Table S3. List of predicted non-carcinogenic pollutants from the petrochemical industry.,,,,,,,,
Compound_CID,Name,Molecular_Formula,InChI,SMILES,InChIKey,IUPAC_Name,Molecular_Weight,Probability
8124,Octanoyl chloride,C8H15ClO,"InChI=1S/C8H15ClO/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3",CCCCCCCC(=O)Cl,REEZZSHJLXOIHL-UHFFFAOYSA-N,octanoyl chloride,162.66,0.4402
8174,1-Decanol,C10H22O,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",CCCCCCCCCCO,MWKFXSUHUHTGQN-UHFFFAOYSA-N,decan-1-ol,158.28,0.2318
8175,Decanal,C10H20O,"InChI=1S/C10H20O/c1-2-3-4-5-6-7-8-9-10-11/h10H,2-9H2,1H3",CCCCCCCCCC=O,KSMVZQYAVGTKIV-UHFFFAOYSA-N,decanal,156.26,0.4422
8180,Undecanoic Acid,C11H22O2,"InChI=1S/C11H22O2/c1-2-3-4-5-6-7-8-9-10-11(12)13/h2-10H2,1H3,(H,12,13)",CCCCCCCCCCC(=O)O,ZDPHROOEEOARMN-UHFFFAOYSA-N,undecanoic acid,186.29,0.3827
8193,1-Dodecanol,C12H26O,"InChI=1S/C12H26O/c1-2-3-4-5-6-7-8-9-10-11-12-13/h13H,2-12H2,1H3",CCCCCCCCCCCCO,LQZZUXJYWNFBMV-UHFFFAOYSA-N,dodecan-1-ol,186.33,0.2318
8205,Dodecyl acetate,C14H28O2,"InChI=1S/C14H28O2/c1-3-4-5-6-7-8-9-10-11-12-13-16-14(2)15/h3-13H2,1-2H3",CCCCCCCCCCCCOC(=O)C,VZWGRQBCURJOMT-UHFFFAOYSA-N,dodecyl acetate,228.37,0.4809
8209,1-Tetradecanol,C14H30O,"InChI=1S/C14H30O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15/h15H,2-14H2,1H3",CCCCCCCCCCCCCCO,HLZKNKRTKFSKGZ-UHFFFAOYSA-N,tetradecan-1-ol,214.39,0.2318
8221,Stearyl Alcohol,C18H38O,"InChI=1S/C18H38O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19/h19H,2-18H2,1H3",CCCCCCCCCCCCCCCCCCO,GLDOVTGHNKAZLK-UHFFFAOYSA-N,octadecan-1-ol,270.5,0.2318
8222,Eicosane,C20H42,"InChI=1S/C20H42/c1-3-5-7-9-11-13-15-17-19-20-18-16-14-12-10-8-6-4-2/h3-20H2,1-2H3",CCCCCCCCCCCCCCCCCCCC,CBFCDTFDPHXCNY-UHFFFAOYSA-N,icosane,282.5,0.2994
8465,"1-(3,4-Dihydroxyphenyl)-2-((1-methylethyl)amino)ethanone",C11H15NO3,"InChI=1S/C11H15NO3/c1-7(2)12-6-11(15)8-3-4-9(13)10(14)5-8/h3-5,7,12-14H,6H2,1-2H3",CC(C)NCC(=O)C1=CC(=C(C=C1)O)O,BIQMIYWSZZTXEX-UHFFFAOYSA-N,"1-(3,4-dihydroxyphenyl)-2-(propan-2-ylamino)ethanone",209.24,0.4786
