Table S6. Confusion matrices for different molecular fingerprint combinations.,,,,,,,
Model_Name,Fingerprint,FP_Count,TP,TN,FP,FN,Total_Samples
KNN,PubChem,1,302,49,95,26,472
SVM,PubChem,1,328,0,144,0,472
RandomForest,PubChem,1,300,54,90,28,472
XGBoost,PubChem,1,292,58,86,36,472
GaussianNB,PubChem,1,22,138,6,306,472
KNN,Klekota-Roth,1,305,40,104,23,472
SVM,Klekota-Roth,1,315,39,105,13,472
RandomForest,Klekota-Roth,1,315,42,102,13,472
XGBoost,Klekota-Roth,1,314,40,104,14,472
GaussianNB,Klekota-Roth,1,92,123,21,236,472
KNN,ECFP,1,314,24,120,14,472
SVM,ECFP,1,320,20,124,8,472
RandomForest,ECFP,1,312,29,115,16,472
XGBoost,ECFP,1,298,48,96,30,472
GaussianNB,ECFP,1,93,113,31,235,472
KNN,MACCS,1,294,61,83,34,472
SVM,MACCS,1,312,46,98,16,472
RandomForest,MACCS,1,311,45,99,17,472
XGBoost,MACCS,1,296,53,91,32,472
GaussianNB,MACCS,1,145,112,32,183,472
KNN,AtomPairs,1,302,42,102,26,472
SVM,AtomPairs,1,318,26,118,10,472
RandomForest,AtomPairs,1,308,40,104,20,472
XGBoost,AtomPairs,1,297,47,97,31,472
GaussianNB,AtomPairs,1,15,136,8,313,472
KNN,RDKit,1,312,37,107,16,472
SVM,RDKit,1,319,32,112,9,472
RandomForest,RDKit,1,306,50,94,22,472
XGBoost,RDKit,1,313,41,103,15,472
GaussianNB,RDKit,1,228,62,82,100,472
VotingEnsemble,PubChem,1,299,55,89,29,472
StackingEnsemble,PubChem,1,300,51,93,28,472
VotingEnsemble,Klekota-Roth,1,308,37,107,20,472
StackingEnsemble,Klekota-Roth,1,310,49,95,18,472
VotingEnsemble,ECFP,1,308,37,107,20,472
StackingEnsemble,ECFP,1,302,47,97,26,472
VotingEnsemble,MACCS,1,298,62,82,30,472
StackingEnsemble,MACCS,1,303,56,88,25,472
VotingEnsemble,AtomPairs,1,302,43,101,26,472
StackingEnsemble,AtomPairs,1,303,47,97,25,472
VotingEnsemble,RDKit,1,305,49,95,23,472
StackingEnsemble,RDKit,1,307,50,94,21,472
MultiFPUnionPipeline,Pub+Kle,2,310,49,95,18,472
MultiFPVoting,Pub+Kle,2,307,48,96,21,472
MultiFPStacking,Pub+Kle,2,308,49,95,20,472
MultiFPUnionPipeline,Pub+ECF,2,309,42,102,19,472
MultiFPVoting,Pub+ECF,2,308,42,102,20,472
MultiFPStacking,Pub+ECF,2,303,50,94,25,472
MultiFPUnionPipeline,Pub+MAC,2,300,57,87,28,472
MultiFPVoting,Pub+MAC,2,306,53,91,22,472
MultiFPStacking,Pub+MAC,2,304,50,94,24,472
MultiFPUnionPipeline,Pub+Ato,2,309,49,95,19,472
MultiFPVoting,Pub+Ato,2,308,47,97,20,472
MultiFPStacking,Pub+Ato,2,306,48,96,22,472
MultiFPUnionPipeline,Pub+RDK,2,305,46,98,23,472
MultiFPVoting,Pub+RDK,2,305,49,95,23,472
MultiFPStacking,Pub+RDK,2,308,45,99,20,472
MultiFPUnionPipeline,Kle+ECF,2,319,22,122,9,472
MultiFPVoting,Kle+ECF,2,311,38,106,17,472
MultiFPStacking,Kle+ECF,2,307,48,96,21,472
MultiFPUnionPipeline,Kle+MAC,2,310,43,101,18,472
MultiFPVoting,Kle+MAC,2,301,51,93,27,472
MultiFPStacking,Kle+MAC,2,309,53,91,19,472
MultiFPUnionPipeline,Kle+Ato,2,311,41,103,17,472
MultiFPVoting,Kle+Ato,2,311,41,103,17,472
MultiFPStacking,Kle+Ato,2,307,50,94,21,472
MultiFPUnionPipeline,Kle+RDK,2,310,41,103,18,472
MultiFPVoting,Kle+RDK,2,310,47,97,18,472
MultiFPStacking,Kle+RDK,2,312,45,99,16,472
MultiFPUnionPipeline,ECF+MAC,2,312,33,111,16,472
MultiFPVoting,ECF+MAC,2,308,48,96,20,472
MultiFPStacking,ECF+MAC,2,304,53,91,24,472
MultiFPUnionPipeline,ECF+Ato,2,311,32,112,17,472
MultiFPVoting,ECF+Ato,2,307,39,105,21,472
MultiFPStacking,ECF+Ato,2,307,46,98,21,472
MultiFPUnionPipeline,ECF+RDK,2,308,47,97,20,472
MultiFPVoting,ECF+RDK,2,310,47,97,18,472
MultiFPStacking,ECF+RDK,2,309,44,100,19,472
MultiFPUnionPipeline,MAC+Ato,2,314,29,115,14,472
MultiFPVoting,MAC+Ato,2,304,45,99,24,472
MultiFPStacking,MAC+Ato,2,307,53,91,21,472
MultiFPUnionPipeline,MAC+RDK,2,311,50,94,17,472
MultiFPVoting,MAC+RDK,2,309,50,94,19,472
MultiFPStacking,MAC+RDK,2,306,51,93,22,472
MultiFPUnionPipeline,Ato+RDK,2,308,47,97,20,472
MultiFPVoting,Ato+RDK,2,309,43,101,19,472
MultiFPStacking,Ato+RDK,2,312,46,98,16,472
MultiFPUnionPipeline,Pub+Kle+ECF,3,316,41,103,12,472
MultiFPVoting,Pub+Kle+ECF,3,309,44,100,19,472
