Table S4. List of predicted carcinogenic pollutants from the petrochemical industry.,,,,,,,,
Compound_CID,Name,Molecular_Formula,InChI,SMILES,InChIKey,IUPAC_Name,Molecular_Weight,Probability
11574,1-Methylcyclohexene,C7H12,"InChI=1S/C7H12/c1-7-5-3-2-4-6-7/h5H,2-4,6H2,1H3",CC1=CCCCC1,CTMHWPIWNRWQEG-UHFFFAOYSA-N,1-methylcyclohexene,96.17,0.7644
11673,2-Chloro-2-nitropropane,C3H6ClNO2,"InChI=1S/C3H6ClNO2/c1-3(2,4)5(6)7/h1-2H3",CC(C)([N+](=O)[O-])Cl,JQYFSFNSNVRUPY-UHFFFAOYSA-N,2-chloro-2-nitropropane,123.54,0.8481
11746,"2,3-Dibromopropionic acid",C3H4Br2O2,"InChI=1S/C3H4Br2O2/c4-1-2(5)3(6)7/h2H,1H2,(H,6,7)",C(C(C(=O)O)Br)Br,ZMYAKSMZTVWUJB-UHFFFAOYSA-N,"2,3-dibromopropanoic acid",231.87,0.7395
11768,Anthragallol,C14H8O5,"InChI=1S/C14H8O5/c15-9-5-8-10(14(19)13(9)18)12(17)7-4-2-1-3-6(7)11(8)16/h1-5,15,18-19H",C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)O,AHKDJQYHVWSRLT-UHFFFAOYSA-N,"1,2,3-trihydroxyanthracene-9,10-dione",256.209,0.7946
11884,1-Methylanthracene,C15H12,"InChI=1S/C15H12/c1-11-5-4-8-14-9-12-6-2-3-7-13(12)10-15(11)14/h2-10H,1H3",CC1=CC=CC2=CC3=CC=CC=C3C=C12,KZNJSFHJUQDYHE-UHFFFAOYSA-N,1-methylanthracene,192.25,0.9046
11889,2-Nitrophenetole,C8H9NO3,"InChI=1S/C8H9NO3/c1-2-12-8-6-4-3-5-7(8)9(10)11/h3-6H,2H2,1H3",CCOC1=CC=CC=C1[N+](=O)[O-],XGLGESCVNJSAQY-UHFFFAOYSA-N,1-ethoxy-2-nitrobenzene,167.16,0.8863
11995,2-Iodoaniline,C6H6IN,"InChI=1S/C6H6IN/c7-5-3-1-2-4-6(5)8/h1-4H,8H2",C1=CC=C(C(=C1)N)I,UBPDKIDWEADHPP-UHFFFAOYSA-N,2-iodoaniline,219.02,0.7568
12120,3-Ethoxyaniline,C8H11NO,"InChI=1S/C8H11NO/c1-2-10-8-5-3-4-7(9)6-8/h3-6H,2,9H2,1H3",CCOC1=CC=CC(=C1)N,WEZAHYDFZNTGKE-UHFFFAOYSA-N,3-ethoxyaniline,137.18,0.8117
12348,Amyl Acetate,C7H14O2,"InChI=1S/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3",CCCCCOC(=O)C,PGMYKACGEOXYJE-UHFFFAOYSA-N,pentyl acetate,130.18,0.5259
13867,N-Phenyl-beta-bromoethylamine hydrobromide,C8H11Br2N,"InChI=1S/C8H10BrN.BrH/c9-6-7-10-8-4-2-1-3-5-8;/h1-5,10H,6-7H2;1H",C1=CC=C(C=C1)[NH2+]CCBr.[Br-],MXNALQRSXHOIEA-UHFFFAOYSA-N,2-bromoethyl(phenyl)azanium bromide,280.99,0.5274
14064,Bis(1-methylethyl)mercury,C6H14Hg,"InChI=1S/2C3H7.Hg/c2*1-3-2;/h2*3H,1-2H3;",CC(C)[Hg]C(C)C,UVUGOJQWNVFTRT-UHFFFAOYSA-N,di(propan-2-yl)mercury,286.77,0.8409
14422,Quaterphenyl,C24H18,InChI=1S/C24H18/c1-3-9-19(10-4-1)21-13-7-15-23(17-21)24-16-8-14-22(18-24)20-11-5-2-6-12-20/h1-18H,C1=CC=C(C=C1)C2=CC(=CC=C2)C3=CC=CC(=C3)C4=CC=CC=C4,OWPJBAYCIXEHFA-UHFFFAOYSA-N,1-phenyl-3-(3-phenylphenyl)benzene,306.4,0.6821
14528,3-Phenyl-2-butenal,C10H10O,"InChI=1S/C10H10O/c1-9(7-8-11)10-5-3-2-4-6-10/h2-8H,1H3",CC(=CC=O)C1=CC=CC=C1,IEARORYJISZKGK-UHFFFAOYSA-N,3-phenylbut-2-enal,146.19,0.5762
14711,"1-Naphthaleneacetonitrile, alpha-(2-(N-benzyl-N-methylamino)ethyl)-",C22H22N2,"InChI=1S/C22H22N2/c1-24(17-18-8-3-2-4-9-18)15-14-20(16-23)22-13-7-11-19-10-5-6-12-21(19)22/h2-13,20H,14-15,17H2,1H3",CN(CCC(C#N)C1=CC=CC2=CC=CC=C21)CC3=CC=CC=C3,BFQMJUKUPCJANE-UHFFFAOYSA-N,4-[benzyl(methyl)amino]-2-naphthalen-1-ylbutanenitrile,314.4,0.5371
14942,Orthosilicic acid,H4O4Si,"InChI=1S/H4O4Si/c1-5(2,3)4/h1-4H",O[Si](O)(O)O,RMAQACBXLXPBSY-UHFFFAOYSA-N,silicic acid,96.11,0.7997
15324,Calcium Stearate,C36H70CaO4,"InChI=1S/2C18H36O2.Ca/c2*1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20;/h2*2-17H2,1H3,(H,19,20);/q;;+2/p-2",CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].[Ca+2],CJZGTCYPCWQAJB-UHFFFAOYSA-L,calcium bis(octadecanoate),607,0.6528
15417,Dicyclopentyl,C10H18,"InChI=1S/C10H18/c1-2-6-9(5-1)10-7-3-4-8-10/h9-10H,1-8H2",C1CCC(C1)C2CCCC2,MAWOHFOSAIXURX-UHFFFAOYSA-N,cyclopentylcyclopentane,138.25,0.8665
15572,"1,3-Dioxolane-4-methanol, 2-phenyl-",C10H12O3,"InChI=1S/C10H12O3/c11-6-9-7-12-10(13-9)8-4-2-1-3-5-8/h1-5,9-11H,6-7H2",C1C(OC(O1)C2=CC=CC=C2)CO,AUDDNHGBAJNKEH-UHFFFAOYSA-N,"(2-phenyl-1,3-dioxolan-4-yl)methanol",180.2,0.743
16279,"Acetanilide, 4'-bis(2-iodoethyl)amino-",C12H16I2N2O,"InChI=1S/C12H16I2N2O/c1-10(17)15-11-2-4-12(5-3-11)16(8-6-13)9-7-14/h2-5H,6-9H2,1H3,(H,15,17)",CC(=O)NC1=CC=C(C=C1)N(CCI)CCI,HNIFPOLBBBMRDY-UHFFFAOYSA-N,N-[4-[bis(2-iodoethyl)amino]phenyl]acetamide,458.08,0.7376
17115,Chloropropylmercury,C3H7ClHg,"InChI=1S/C3H7.ClH.Hg/c1-3-2;;/h1,3H2,2H3;1H;/q;;+1/p-1",CCC[Hg]Cl,ZLAYJSKLDWSALK-UHFFFAOYSA-M,chloro(propyl)mercury,279.13,0.7224
22231,"Acridine, 9-amino-2-phenyl-",C19H14N2,"InChI=1S/C19H14N2/c20-19-15-8-4-5-9-17(15)21-18-11-10-14(12-16(18)19)13-6-2-1-3-7-13/h1-12H,(H2,20,21)",C1=CC=C(C=C1)C2=CC3=C(C4=CC=CC=C4N=C3C=C2)N,YHGAGMNSWODGFY-UHFFFAOYSA-N,2-phenylacridin-9-amine,270.3,0.6712
31256,Diacetone Alcohol,C6H12O2,"InChI=1S/C6H12O2/c1-5(7)4-6(2,3)8/h8H,4H2,1-3H3",CC(=O)CC(C)(C)O,SWXVUIWOUIDPGS-UHFFFAOYSA-N,4-hydroxy-4-methylpentan-2-one,116.16,0.5659
31272,Butyl Acetate,C6H12O2,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",CCCCOC(=O)C,DKPFZGUDAPQIHT-UHFFFAOYSA-N,butyl acetate,116.16,0.6686
33934,Diisooctyl phthalate,C24H38O4,"InChI=1S/C24H38O4/c1-19(2)13-7-5-11-17-27-23(25)21-15-9-10-16-22(21)24(26)28-18-12-6-8-14-20(3)4/h9-10,15-16,19-20H,5-8,11-14,17-18H2,1-4H3",CC(C)CCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC(C)C,IJFPVINAQGWBRJ-UHFFFAOYSA-N,"bis(6-methylheptyl) benzene-1,2-dicarboxylate",390.6,0.7897
66645,"2,4-Dichlorobenzoyl chloride",C7H3Cl3O,InChI=1S/C7H3Cl3O/c8-4-1-2-5(7(10)11)6(9)3-4/h1-3H,C1=CC(=C(C=C1Cl)Cl)C(=O)Cl,CEOCVKWBUWKBKA-UHFFFAOYSA-N,"2,4-dichlorobenzoyl chloride",209.5,0.7148
136019,Trinaphthylene,C30H18,InChI=1S/C30H18/c1-2-8-20-14-26-25(13-19(20)7-1)27-15-21-9-3-4-11-23(21)17-29(27)30-18-24-12-6-5-10-22(24)16-28(26)30/h1-18H,C1=CC=C2C=C3C(=CC2=C1)C4=CC5=CC=CC=C5C=C4C6=CC7=CC=CC=C7C=C36,PGXOVVAJURGPLL-UHFFFAOYSA-N,trinaphthylene,378.5,0.9103
171064,Kadsurin,C25H30O8,"InChI=1S/C25H30O8/c1-12-8-15-9-17(27-4)22(28-5)24(29-6)19(15)20-16(21(13(12)2)33-14(3)26)10-18-23(25(20)30-7)32-11-31-18/h9-10,12-13,21H,8,11H2,1-7H3/t12-,13-,21-/m1/s1",C[C@@H]1CC2=CC(=C(C(=C2C3=C(C4=C(C=C3[C@@H]([C@@H]1C)OC(=O)C)OCO4)OC)OC)OC)OC,QUGMSTJBNZWXQS-SQHYZVFZSA-N,"[(9R,10R,11R)-3,4,5,19-tetramethoxy-9,10-dimethyl-15,17-dioxatetracyclo[10.7.0.02,7.014,18]nonadeca-1(19),2,4,6,12,14(18)-hexaen-11-yl] acetate",458.5,0.7238
517044,Potassium Acetate,C2H3KO2,"InChI=1S/C2H4O2.K/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1",CC(=O)[O-].[K+],SCVFZCLFOSHCOH-UHFFFAOYSA-M,potassium acetate,98.14,0.687
517045,Sodium Acetate,C2H3NaO2,"InChI=1S/C2H4O2.Na/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1",CC(=O)[O-].[Na+],VMHLLURERBWHNL-UHFFFAOYSA-M,sodium acetate,82.03,0.687
517048,CID 517048,Na4O7P2,"InChI=1S/4Na.H4O7P2/c;;;;1-8(2,3)7-9(4,5)6/h;;;;(H2,1,2,3)(H2,4,5,6)/q4*+1;/p-4",[O-]P(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+],FQENQNTWSFEDLI-UHFFFAOYSA-J,tetrasodium;phosphonato phosphate,265.9,0.7413
2723810,Sodium Formate,CHNaO2,"InChI=1S/CH2O2.Na/c2-1-3;/h1H,(H,2,3);/q;+1/p-1",C(=O)[O-].[Na+],HLBBKKJFGFRGMU-UHFFFAOYSA-M,sodium formate,68.007,0.7213
3032639,Chloro(triethylphosphine)gold,C6H15AuClP,"InChI=1S/C6H15P.Au.ClH/c1-4-7(5-2)6-3;;/h4-6H2,1-3H3;;1H/q;+1;/p-1",CCP(CC)CC.[Cl-].[Au+],SYBBXLKWGHAVHP-UHFFFAOYSA-M,gold(1+);triethylphosphane;chloride,350.58,0.8247
5287579,(2R)-2-ammoniobut-3-enoate,C4H7NO2,"InChI=1S/C4H7NO2/c1-2-3(5)4(6)7/h2-3H,1,5H2,(H,6,7)/t3-/m1/s1",C=C[C@H](C(=O)[O-])[NH3+],RQVLGLPAZTUBKX-GSVOUGTGSA-N,(2R)-2-azaniumylbut-3-enoate,101.1,0.5821
5287580,"2-Ammoniobut-3-Enoate, 2-Amino-3-Butenoate",C4H7NO2,"InChI=1S/C4H7NO2/c1-2-3(5)4(6)7/h2-3H,1,5H2,(H,6,7)/t3-/m1/s1",C=C[C@H](C(=O)O)N,RQVLGLPAZTUBKX-GSVOUGTGSA-N,(2R)-2-aminobut-3-enoic acid,101.1,0.5999
5326160,cis-2-PENTENE,C5H10,"InChI=1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3-",CC/C=C\C,QMMOXUPEWRXHJS-HYXAFXHYSA-N,(Z)-pent-2-ene,70.13,0.8542
5326161,trans-2-Pentene,C5H10,"InChI=1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3+",CC/C=C/C,QMMOXUPEWRXHJS-HWKANZROSA-N,(E)-pent-2-ene,70.13,0.8542
16683076,Azidomercury,HgN3,InChI=1S/Hg.N3/c;1-3-2/q+1;-1,[N-]=[N+]=N[Hg],NZJRLCPXRZLFGU-UHFFFAOYSA-N,azidomercury,242.61,0.8102
16683082,o-Anisidine antimonyl tartrate,C15H13NO13Sb2-2,"InChI=1S/C7H9NO.2C4H4O6.2Sb/c1-9-7-5-3-2-4-6(7)8;2*5-1(3(7)8)2(6)4(9)10;;/h2-5H,8H2,1H3;2*1-2H,(H,7,8)(H,9,10);;/q;2*-2;2*+3/p-4",COC1=CC=CC=C1N.C12C3C(=O)O[Sb-]4(O3)OC(C5C(=O)O[Sb-](O1)(O5)OC2=O)C(=O)O4,YUPMPOGSJOWVJW-UHFFFAOYSA-J,"2-methoxyaniline;2,7,9,14,15,16,17,18-octaoxa-1,8-distibanuidapentacyclo[10.2.1.11,4.15,8.18,11]octadecane-3,6,10,13-tetrone",658.78,0.9046
