#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0048145	Regulation of fibroblast proliferation	7	89	1.73	2.67	5.52e-09	9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000346839,9606.ENSP00000360266,9606.ENSP00000405330,9606.ENSP00000478887,9606.ENSP00000495360	TP53,EGFR,FN1,JUN,ESR1,MYC,CTNNB1
GO:0014070	Response to organic cyclic compound	13	861	1.01	1.37	6.05e-09	9606.ENSP00000227507,9606.ENSP00000263341,9606.ENSP00000263967,9606.ENSP00000264657,9606.ENSP00000275493,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000495360	CCND1,IL1B,PIK3CA,STAT3,EGFR,SRC,JAK2,BCL2,IL6,TNF,ESR1,BRCA1,CTNNB1
GO:0061138	Morphogenesis of a branching epithelium	8	162	1.53	2.34	6.98e-09	9606.ENSP00000264498,9606.ENSP00000265171,9606.ENSP00000362680,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000405330,9606.ENSP00000478887,9606.ENSP00000495360	FGF2,EGF,SRC,GRB2,BCL2,ESR1,MYC,CTNNB1
GO:1903799	Negative regulation of miRNA maturation	5	16	2.33	3.17	7.00e-09	9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000405330	STAT3,TP53,IL6,TNF,ESR1
GO:0006357	Regulation of transcription by RNA polymerase II	19	2586	0.7	0.84	7.18e-09	9606.ENSP00000227507,9606.ENSP00000263253,9606.ENSP00000263341,9606.ENSP00000264498,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000300305,9606.ENSP00000360266,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000495360	CCND1,EP300,IL1B,FGF2,STAT3,TP53,EGFR,ATM,RUNX1,JUN,JAK2,IL6,TNF,ESR1,BRCA1,PIK3R1,AKT1,MYC,CTNNB1
GO:0045862	Positive regulation of proteolysis	10	375	1.26	1.84	7.42e-09	9606.ENSP00000263341,9606.ENSP00000264657,9606.ENSP00000265171,9606.ENSP00000346839,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000398698,9606.ENSP00000451828,9606.ENSP00000478887	IL1B,STAT3,EGF,FN1,PTEN,SRC,JAK2,TNF,AKT1,MYC
GO:0030099	Myeloid cell differentiation	9	263	1.37	2.04	8.85e-09	9606.ENSP00000263253,9606.ENSP00000300305,9606.ENSP00000360266,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000398698,9606.ENSP00000428056,9606.ENSP00000489597,9606.ENSP00000495360	EP300,RUNX1,JUN,SRC,JAK2,TNF,PIK3R1,PTPN11,CTNNB1
GO:0002696	Positive regulation of leukocyte activation	10	384	1.25	1.81	9.13e-09	9606.ENSP00000263341,9606.ENSP00000263967,9606.ENSP00000300305,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000451828,9606.ENSP00000489597	IL1B,PIK3CA,RUNX1,SRC,JAK2,BCL2,IL6,TNF,AKT1,PTPN11
GO:0071900	Regulation of protein serine/threonine kinase activity	10	386	1.25	1.81	9.55e-09	9606.ENSP00000227507,9606.ENSP00000263341,9606.ENSP00000264498,9606.ENSP00000265171,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000398698,9606.ENSP00000451828	CCND1,IL1B,FGF2,EGF,ERBB2,EGFR,PTEN,SRC,TNF,AKT1
GO:0050673	Epithelial cell proliferation	8	170	1.5	2.27	9.63e-09	9606.ENSP00000227507,9606.ENSP00000264498,9606.ENSP00000265171,9606.ENSP00000275493,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000495360	CCND1,FGF2,EGF,EGFR,IL6,TNF,ESR1,CTNNB1
