#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0019904	Protein domain specific binding	9	695	0.94	0.88	0.00014	9606.ENSP00000263341,9606.ENSP00000269305,9606.ENSP00000346839,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000495360	IL1B,TP53,FN1,PTEN,SRC,JAK2,GRB2,BCL2,CTNNB1
GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	7	353	1.13	1.02	0.00019	9606.ENSP00000263253,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000360266,9606.ENSP00000362680,9606.ENSP00000405330,9606.ENSP00000495360	EP300,STAT3,TP53,JUN,SRC,ESR1,CTNNB1
GO:0001221	Transcription coregulator binding	5	114	1.47	1.25	0.00020	9606.ENSP00000263253,9606.ENSP00000300305,9606.ENSP00000405330,9606.ENSP00000478887,9606.ENSP00000495360	EP300,RUNX1,ESR1,MYC,CTNNB1
GO:0030234	Enzyme regulator activity	11	1239	0.78	0.72	0.00020	9606.ENSP00000227507,9606.ENSP00000263967,9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000346839,9606.ENSP00000360266,9606.ENSP00000362680,9606.ENSP00000405330,9606.ENSP00000428056,9606.ENSP00000451828	CCND1,PIK3CA,EGF,TP53,EGFR,FN1,JUN,SRC,ESR1,PIK3R1,AKT1
GO:0004672	Protein kinase activity	8	583	0.97	0.85	0.00036	9606.ENSP00000227507,9606.ENSP00000263967,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000451828	CCND1,PIK3CA,ERBB2,EGFR,ATM,SRC,JAK2,AKT1
GO:0005126	Cytokine receptor binding	6	270	1.18	0.96	0.00058	9606.ENSP00000263341,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000428056	IL1B,JAK2,GRB2,IL6,TNF,PIK3R1
GO:0030971	Receptor tyrosine kinase binding	4	76	1.55	1.07	0.0011	9606.ENSP00000269305,9606.ENSP00000376345,9606.ENSP00000428056,9606.ENSP00000489597	TP53,GRB2,PIK3R1,PTPN11
GO:0005158	Insulin receptor binding	3	23	1.95	1.12	0.0014	9606.ENSP00000362680,9606.ENSP00000428056,9606.ENSP00000489597	SRC,PIK3R1,PTPN11
GO:0140096	Catalytic activity, acting on a protein	13	2279	0.59	0.5	0.0014	9606.ENSP00000227507,9606.ENSP00000263253,9606.ENSP00000263967,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000369497,9606.ENSP00000371067,9606.ENSP00000418960,9606.ENSP00000451828,9606.ENSP00000489597	CCND1,EP300,PIK3CA,ERBB2,EGFR,ATM,PTEN,SRC,BRCA2,JAK2,BRCA1,AKT1,PTPN11
GO:0035591	Signaling adaptor activity	4	86	1.5	1.0	0.0016	9606.ENSP00000264657,9606.ENSP00000376345,9606.ENSP00000428056,9606.ENSP00000489597	STAT3,GRB2,PIK3R1,PTPN11
