#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
DOID:10283	Prostate cancer	5	52	1.82	2.14	9.57e-07	9606.ENSP00000263253,9606.ENSP00000264657,9606.ENSP00000361021,9606.ENSP00000369497,9606.ENSP00000418960	EP300,STAT3,PTEN,BRCA2,BRCA1
DOID:1795	Tumor of exocrine pancreas	4	17	2.2	2.32	1.09e-06	9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000451828,9606.ENSP00000478887	TP53,EGFR,AKT1,MYC
DOID:3093	Nervous system cancer	6	130	1.5	1.78	1.94e-06	9606.ENSP00000227507,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000361021,9606.ENSP00000451828	CCND1,TP53,ERBB2,EGFR,PTEN,AKT1
DOID:37	Skin disease	9	518	1.07	1.25	1.94e-06	9606.ENSP00000263341,9606.ENSP00000263967,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000398698,9606.ENSP00000495360	IL1B,PIK3CA,STAT3,TP53,ERBB2,EGFR,ATM,TNF,CTNNB1
DOID:13482	Proteus syndrome	3	3	2.83	2.28	2.67e-06	9606.ENSP00000263967,9606.ENSP00000361021,9606.ENSP00000451828	PIK3CA,PTEN,AKT1
DOID:3907	Lung squamous cell carcinoma	3	3	2.83	2.28	2.67e-06	9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000369497	TP53,EGFR,BRCA2
DOID:225	Syndrome	12	1214	0.83	0.91	2.79e-06	9606.ENSP00000263253,9606.ENSP00000263341,9606.ENSP00000263967,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000361021,9606.ENSP00000369497,9606.ENSP00000385675,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000489597	EP300,IL1B,PIK3CA,TP53,ATM,PTEN,BRCA2,IL6,BRCA1,PIK3R1,AKT1,PTPN11
DOID:974	Upper respiratory tract disease	5	67	1.7	1.92	2.84e-06	9606.ENSP00000263341,9606.ENSP00000269305,9606.ENSP00000398698,9606.ENSP00000451828,9606.ENSP00000478887	IL1B,TP53,TNF,AKT1,MYC
DOID:9352	Type 2 diabetes mellitus	4	25	2.04	2.06	3.93e-06	9606.ENSP00000263341,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000451828	IL1B,IL6,TNF,AKT1
DOID:0060074	Ductal carcinoma in situ	3	4	2.71	2.19	4.36e-06	9606.ENSP00000269571,9606.ENSP00000405330,9606.ENSP00000418960	ERBB2,ESR1,BRCA1
DOID:3010	Lobular neoplasia	3	4	2.71	2.19	4.36e-06	9606.ENSP00000269571,9606.ENSP00000405330,9606.ENSP00000418960	ERBB2,ESR1,BRCA1
DOID:8029	Sporadic breast cancer	3	4	2.71	2.19	4.36e-06	9606.ENSP00000369497,9606.ENSP00000405330,9606.ENSP00000418960	BRCA2,ESR1,BRCA1
