#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005737	Cytoplasm	27	12056	0.18	0.24	0.0094	9606.ENSP00000227507,9606.ENSP00000263253,9606.ENSP00000263341,9606.ENSP00000263967,9606.ENSP00000264498,9606.ENSP00000264657,9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000346839,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000369497,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000489597,9606.ENSP00000495360	CCND1,EP300,IL1B,PIK3CA,FGF2,STAT3,EGF,TP53,ERBB2,EGFR,ATM,FN1,PTEN,SRC,BRCA2,JAK2,GRB2,BCL2,IL6,TNF,ESR1,BRCA1,PIK3R1,AKT1,MYC,PTPN11,CTNNB1
GO:0005943	Phosphatidylinositol 3-kinase complex, class IA	2	9	2.18	0.82	0.0094	9606.ENSP00000263967,9606.ENSP00000428056	PIK3CA,PIK3R1
GO:0019898	Extrinsic component of membrane	5	323	1.02	0.62	0.0094	9606.ENSP00000263967,9606.ENSP00000362680,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000495360	PIK3CA,SRC,PIK3R1,AKT1,CTNNB1
GO:0045121	Membrane raft	5	320	1.03	0.62	0.0094	9606.ENSP00000275493,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000398698,9606.ENSP00000495360	EGFR,SRC,JAK2,TNF,CTNNB1
GO:0005886	Plasma membrane	18	5544	0.34	0.31	0.0100	9606.ENSP00000263967,9606.ENSP00000264657,9606.ENSP00000265171,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000346839,9606.ENSP00000360266,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000495360	PIK3CA,STAT3,EGF,ERBB2,EGFR,FN1,JUN,PTEN,SRC,JAK2,GRB2,IL6,TNF,ESR1,BRCA1,PIK3R1,AKT1,CTNNB1
GO:0099091	Postsynaptic specialization, intracellular component	2	10	2.13	0.81	0.0100	9606.ENSP00000362680,9606.ENSP00000495360	SRC,CTNNB1
GO:0098797	Plasma membrane protein complex	6	589	0.84	0.53	0.0123	9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000385675,9606.ENSP00000495360	ERBB2,EGFR,JAK2,GRB2,IL6,CTNNB1
GO:0044214	Spanning component of plasma membrane	2	13	2.02	0.75	0.0134	9606.ENSP00000269571,9606.ENSP00000275493	ERBB2,EGFR
GO:0005901	Caveola	3	78	1.42	0.69	0.0136	9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000495360	SRC,JAK2,CTNNB1
GO:0000800	Lateral element	2	14	1.99	0.74	0.0145	9606.ENSP00000369497,9606.ENSP00000418960	BRCA2,BRCA1
GO:0090571	RNA polymerase II transcription repressor complex	2	15	1.96	0.72	0.0159	9606.ENSP00000478887,9606.ENSP00000495360	MYC,CTNNB1
GO:0005622	Intracellular anatomical structure	29	14891	0.12	0.21	0.0167	9606.ENSP00000227507,9606.ENSP00000263253,9606.ENSP00000263341,9606.ENSP00000263967,9606.ENSP00000264498,9606.ENSP00000264657,9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000300305,9606.ENSP00000346839,9606.ENSP00000360266,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000369497,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000478887,9606.ENSP00000489597,9606.ENSP00000495360	CCND1,EP300,IL1B,PIK3CA,FGF2,STAT3,EGF,TP53,ERBB2,EGFR,ATM,RUNX1,FN1,JUN,PTEN,SRC,BRCA2,JAK2,GRB2,BCL2,IL6,TNF,ESR1,BRCA1,PIK3R1,AKT1,MYC,PTPN11,CTNNB1
GO:0031252	Cell leading edge	5	422	0.91	0.51	0.0193	9606.ENSP00000263967,9606.ENSP00000275493,9606.ENSP00000362680,9606.ENSP00000451828,9606.ENSP00000495360	PIK3CA,EGFR,SRC,AKT1,CTNNB1
GO:0000785	Chromatin	8	1285	0.63	0.4	0.0217	9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000300305,9606.ENSP00000360266,9606.ENSP00000371067,9606.ENSP00000405330,9606.ENSP00000478887,9606.ENSP00000495360	STAT3,TP53,RUNX1,JUN,JAK2,ESR1,MYC,CTNNB1
GO:0031410	Cytoplasmic vesicle	11	2482	0.48	0.34	0.0243	9606.ENSP00000263341,9606.ENSP00000265171,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000346839,9606.ENSP00000362680,9606.ENSP00000369497,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000398698	IL1B,EGF,ERBB2,EGFR,ATM,FN1,SRC,BRCA2,JAK2,GRB2,TNF
GO:0030054	Cell junction	10	2115	0.51	0.34	0.0272	9606.ENSP00000227507,9606.ENSP00000263967,9606.ENSP00000275493,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000495360	CCND1,PIK3CA,EGFR,PTEN,SRC,JAK2,GRB2,PIK3R1,AKT1,CTNNB1
GO:0048471	Perinuclear region of cytoplasm	6	727	0.75	0.43	0.0272	9606.ENSP00000263967,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000362680,9606.ENSP00000428056,9606.ENSP00000495360	PIK3CA,ERBB2,EGFR,SRC,PIK3R1,CTNNB1
GO:0005815	Microtubule organizing center	6	825	0.69	0.37	0.0474	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000369497,9606.ENSP00000418960,9606.ENSP00000451828,9606.ENSP00000495360	TP53,ATM,BRCA2,BRCA1,AKT1,CTNNB1
