SMILES,molecular_weight,TPSA,NumHDonors,NumHAcceptors,MolLogP,MolMR
[H]OC(=O)[C@@]1([H])O[C@@]([H])(Oc2c([H])c([H])c(C3(c4c([H])c([H])c(O[H])c([H])c4[H])OC(=O)c4c([H])c([H])c([H])c([H])c43)c([H])c2[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],494.45200000000017,162.98000000000002,5,9,1.1254999999999995,121.2335
[H]C([H])([H])C([H])([H])P(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],118.16,0.0,0,0,2.5280000000000005,38.543000000000006
[H]C([H])=C([H])[C@]([H])(C(=O)O)[N+]([H])([H])[H],102.11299999999999,64.94,2,1,-1.1324999999999994,24.5089
[H]OC(=O)[C@@]([H])(C([H])=C([H])[H])N([H])[H],101.10500000000002,63.31999999999999,2,2,-0.4156999999999999,25.808199999999996
[H]/C(=C(\[H])C([H])([H])C([H])([H])[H])C([H])([H])[H],70.13499999999999,0.0,0,0,1.9725,25.10499999999999
[H]/C(=C(/[H])C([H])([H])C([H])([H])[H])C([H])([H])[H],70.13499999999999,0.0,0,0,1.9725,25.10499999999999
[H]OC([H])([H])C([H])([H])/C([H])=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],128.215,20.23,1,1,2.1151999999999997,40.36780000000001
[N-]=[N+]=N[Hg],242.611,48.760000000000005,0,1,0.7585000000000001,9.146
[H]c1c([H])c([H])c(N([H])[H])c(OC([H])([H])[H])c1[H],123.15499999999999,35.25,1,2,1.2773999999999999,37.406400000000005
[H]c1c([H])c([H])c(C(=O)N([H])[C@]2([H])C(=O)N3C(C(=O)O)=C(C([H])([H])OC(=O)C([H])([H])[H])C([H])([H])SC32[H])c(N=Nc2c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])c1[H],523.5710000000003,140.97000000000003,2,9,3.0833000000000013,137.0279999999999
