SMILES,molecular_weight,TPSA,NumHDonors,NumHAcceptors,MolLogP,MolMR
[H]C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],72.151,0.0,0,0,2.0524,25.12899999999999
[H]OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],74.123,20.23,1,1,0.6347,21.923799999999993
[H]OC([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],74.123,20.23,1,1,0.7772,21.971799999999995
[H]C([H])([H])C(=O)C([H])([H])C([H])([H])[H],72.107,17.07,0,1,0.9854,20.971999999999994
[H]C([H])([H])OC(=O)C([H])([H])[H],74.07900000000001,26.3,0,2,0.1792999999999999,17.689999999999998
[H]OOC(c1c([H])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H],152.19299999999996,29.46,1,2,2.4113000000000007,43.181800000000024
[H]Oc1c([N+](=O)[O-])c([H])c([N+](=O)[O-])c(O[H])c1[N+](=O)[O-],245.10299999999998,169.88000000000002,2,8,0.8223999999999998,49.73480000000001
[H]c1c([H])c([H])c(C(=O)OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c(C(=O)OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c1[H],278.34799999999996,52.60000000000001,0,4,3.3122000000000016,76.68300000000005
[H]OC(=O)c1c([H])c([H])c2c([H])c([H])c([H])c([H])c2c1O[H],188.182,57.53,2,2,2.2436000000000003,52.57210000000002
[H]Oc1c(Cl)c([H])c([H])c([H])c1Cl,163.003,20.23,1,1,2.699,38.12680000000001
[H]c1c([H])c(C([H])([H])[H])c([N+](=O)[O-])c([H])c1Cl,171.58299999999997,43.14,0,2,2.5566200000000006,42.84340000000002
[H]C1=C([H])C([H])([H])c2c([H])c([H])c([H])c([H])c21,116.16299999999995,0.0,0,0,2.2559000000000005,39.180000000000014
[H]c1c([H])c([H])c(C([H])([H])[H])c(C([H])([H])[H])c1[H],106.16799999999998,0.0,0,0,2.30344,35.916
[H]c1c([H])c([H])c(C([H])([H])[H])c(Cl)c1[H],126.58599999999998,0.0,0,0,2.6484200000000007,36.189
[H]c1c([H])c([H])c(C([H])([H])[H])c(F)c1[H],110.13099999999999,0.0,0,0,2.1341200000000002,31.136999999999993
[H]Oc1c([H])c([H])c([H])c([H])c1Cl,128.558,20.23,1,1,2.0456000000000003,33.1168
[H]C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],86.178,0.0,0,0,2.442500000000001,29.74599999999998
[H]C(=O)C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],86.134,17.07,0,1,1.2314,25.518999999999988
[H]C([H])([H])C([H])(C(=O)OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],144.21399999999997,26.3,0,2,1.8416000000000001,40.635000000000005
[H]OC(=O)c1c([H])c([H])c(C(=O)O[H])c([H])c1[H],166.132,74.6,2,2,1.083,40.360600000000005
[H]c1c([H])c([H])c(C([H])([H])N([H])[H])c([H])c1[H],107.15599999999999,26.02,1,1,1.1453,34.333400000000005
[H]c1c([H])c([H])c(C#N)c([H])c1[H],103.12399999999998,23.79,0,1,1.5582799999999999,31.157
[H]c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H],108.13999999999997,9.23,0,1,1.6951999999999998,32.99399999999999
[H]c1c([H])c([H])c(SC([H])([H])[H])c([H])c1[H],124.20799999999997,0.0,0,1,2.4085,38.22300000000001
[H]c1c([H])c([H])c(N=C(N([H])c2c([H])c([H])c([H])c([H])c2[H])N([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],287.36600000000004,36.42,2,1,4.8983000000000025,93.66640000000002
[H]C([H])([H])C([H])([H])OC([H])(OC([H])([H])C([H])([H])[H])C([H])([H])C([H])(OC([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],218.33699999999996,27.69,0,3,2.9808000000000012,61.979000000000056
[H]c1c([H])c(OC([H])([H])C([H])([H])[H])c([H])c([H])c1N=C(N([H])c1c([H])c([H])c(OC([H])([H])C([H])([H])[H])c([H])c1[H])C([H])([H])[H],298.38599999999997,42.849999999999994,1,3,4.6460000000000035,91.61370000000005
[H]c1c([H])c([H])c(N([H])C(=O)OC([H])([H])C([H])([H])[H])c([H])c1[H],165.192,38.33,1,2,2.255,47.08670000000002
[H]C(=O)C([H])([H])OC([H])(C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],198.30599999999995,26.3,0,2,2.972900000000002,59.307000000000045
[H]C([H])([H])C([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])[H],130.18699999999998,26.3,0,2,1.7397,36.157999999999994
[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1C([H])([H])[H],106.16799999999996,0.0,0,0,2.30344,35.916
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],58.123999999999995,0.0,0,0,1.8064,20.581999999999997
[H]C([H])=C([H])C([H])([H])C([H])([H])[H],56.10799999999999,0.0,0,0,1.5824,20.487999999999996
[H]OC([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H],89.13799999999999,23.47,1,2,-0.4597000000000002,25.639799999999987
[H]C([H])([H])C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H],102.133,26.3,0,2,0.9579,26.901999999999987
[H]C([H])([H])C(=O)OC(=O)C([H])([H])[H],102.089,43.370000000000005,0,3,0.09599999999999997,22.44699999999999
[H]C1=C([H])C(=O)OC1=O,98.05699999999999,43.370000000000005,0,3,-0.3740000000000001,20.238999999999997
[H]c1c([H])c(C([H])([H])[H])c([H])c(C([H])([H])[H])c1[H],106.16799999999996,0.0,0,0,2.30344,35.916
[H]c1c(N([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H],121.18299999999998,26.02,1,1,1.88564,40.328400000000016
[H]c1c(Cl)c([H])c(Cl)c([H])c1Cl,181.449,0.0,0,0,3.6468000000000007,41.47200000000001
[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],100.161,20.23,1,1,1.3114,29.091799999999985
[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])[H],102.13300000000001,26.3,0,2,0.9595,26.923999999999985
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],72.151,0.0,0,0,2.1965000000000003,25.19899999999999
[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])[H],70.13499999999999,0.0,0,0,1.9725,25.10499999999999
[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],73.139,26.02,1,1,0.7452000000000001,23.96239999999999
[H]OC([H])([H])C([H])([H])OC([H])([H])[H],76.095,29.46,1,2,-0.3749,18.961799999999997
[H]C([H])([H])C(=O)OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],116.16,26.3,0,2,1.2055,31.470999999999982
[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H],90.122,40.46,2,2,-0.24880000000000008,23.405599999999993
[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],84.162,0.0,0,0,2.3406000000000002,27.701999999999984
[H]C1=C([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],82.146,0.0,0,0,2.1166,27.607999999999986
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)Cl,162.66,17.07,0,1,3.112300000000002,44.23600000000002
[H]C([H])([H])OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])OC([H])([H])[H],132.203,18.46,0,2,1.4495000000000002,37.603
[H]OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H],134.175,38.69,1,3,0.03179999999999983,34.39779999999999
[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],158.285,20.23,1,1,3.1194000000000015,49.69580000000003
[H]C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],156.269,17.07,0,1,3.3260000000000023,48.67400000000003
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],186.29499999999996,37.3,1,1,3.6018000000000026,54.86280000000005
[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],186.33899999999997,20.23,1,1,3.899600000000003,58.92980000000006
[H]C([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],228.37599999999992,26.3,0,2,4.470400000000004,68.47700000000006
[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],214.39299999999994,20.23,1,1,4.679800000000005,68.16380000000007
[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],270.5009999999999,20.23,1,1,6.240200000000007,86.63180000000008
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],282.5559999999999,0.0,0,0,8.048000000000007,94.4540000000001
[H]OC([H])([H])C(C([H])([H])O[H])(C([H])([H])O[H])C([H])([H])O[H],136.147,80.92,4,4,-2.058,30.77619999999999
[H]c1c([H])c([H])c(OP(=O)(Oc2c([H])c([H])c([H])c([H])c2[H])Oc2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],326.288,44.760000000000005,0,4,5.331500000000004,88.81650000000003
[H]Oc1c([H])c([H])c(C(=O)C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1O[H],209.245,69.56,3,4,1.2785,57.240800000000036
[H]OC(=O)c1c([H])c([H])c([H])c(C(=O)O[H])c1[H],166.13199999999998,74.6,2,2,1.083,40.360600000000005
[H]c1c([H])c([H])c(C(=O)OC([H])([H])[H])c(C(=O)OC([H])([H])[H])c1[H],194.18599999999998,52.60000000000001,0,4,1.2597999999999998,49.12100000000002
[H]C(C(=O)N(C([H])([H])[H])C([H])([H])[H])=C(OP(=O)(OC([H])([H])[H])OC([H])([H])[H])C([H])([H])[H],237.19199999999995,65.07000000000001,0,5,1.3959,55.160500000000035
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],100.205,0.0,0,0,2.976700000000002,34.432999999999986
[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],70.135,0.0,0,0,1.9505000000000001,23.084999999999994
FC(F)(Cl)Br,165.364,0.0,0,0,2.1704,19.727
[H]C([H])([H])C#CC([H])([H])[H],54.092,0.0,0,0,1.0296,19.124
[H]C(=C(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],70.13499999999999,0.0,0,0,1.9725,25.10499999999999
[H]Oc1c([H])c(C([H])([H])[H])c(C([H])([H])[H])c(C([H])([H])[H])c1[H],136.194,20.23,1,1,2.3174600000000005,42.31780000000002
[H]c1c([H])c([H])c(C(=O)OC([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])[H])c([H])c1[H],261.36499999999995,29.54,0,3,3.1079000000000017,76.22750000000005
[H]C([H])([H])C([H])([H])C([H])(Br)C([H])([H])Br,215.91599999999997,0.0,0,0,2.554800000000001,36.800000000000004
CC(=O)[O-].CC(=O)[O-].[Sr+2],205.708,80.25999999999999,0,4,-2.8683999999999985,27.115999999999993
C1=CC=C2C(=C1)C=CC=C2N.Cl,179.64999999999995,26.02,1,1,2.8438000000000003,55.60840000000002
[H]OC([H])(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])C(C(=O)OC([H])([H])C([H])([H])[H])(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C1([H])[H],367.4890000000001,49.769999999999996,1,4,3.7070000000000025,106.44580000000005
[H]OC([H])([H])C1=C([H])C([H])([H])[C@]2([H])C([H])([H])C([H])([H])[C@]3([H])[C@]([H])(C([H])([H])C([H])([H])[C@@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]4([H])O[H])[C@@]2(C([H])([H])[H])C1([H])[H],304.47400000000005,40.46,2,2,3.918600000000003,88.28560000000006
[H]OC(=O)c1c([H])c([H])c([H])c(C(=O)O[H])c1C(=O)O[H],210.14099999999996,111.89999999999999,3,3,0.7811999999999999,47.3199
[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])C([H])([H])[H],114.18799999999999,20.23,1,1,1.5574,33.63879999999999
[H]N([H])C([H])(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])SSC([H])([H])C([H])(C(=O)OC([H])([H])C([H])([H])[H])N([H])[H],296.41400000000004,104.64000000000001,2,8,0.14860000000000062,74.13280000000003
[H]OC([H])([H])C([H])(O[H])C([H])([H])C([H])([H])[H],90.12200000000001,40.46,2,2,-0.25039999999999996,23.383599999999994
[H]OC(=O)C([H])(N([H])C(=O)C([H])([H])C([H])([H])N([H])[H])C([H])([H])c1c([H])nc([H])n1C([H])([H])[H],240.26299999999998,110.24000000000001,3,5,-1.119199999999999,60.14990000000002
[H]OC([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],116.204,20.23,1,1,1.9475,35.822799999999994
[H]c1c([H])c(OC([H])([H])C([H])([H])[H])c([H])c(N([H])C(=O)C([H])([H])[H])c1[H],179.219,38.33,1,2,2.0437,51.914700000000025
[H]C1=C(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],96.173,0.0,0,0,2.5067000000000004,32.22499999999999
[H]C([H])([H])C(Cl)([N+](=O)[O-])C([H])([H])[H],123.53899999999999,43.14,0,2,1.238,26.926399999999994
[H]OC(=O)C([H])(Br)C([H])([H])Br,231.87099999999998,37.3,1,1,1.2294,34.144800000000004
[H]Oc1c([H])c2c(c(O[H])c1O[H])C(=O)c1c([H])c([H])c([H])c([H])c1C2=O,256.21299999999997,94.82999999999998,3,5,1.5787999999999995,64.74340000000002
[H]c1c([H])c([H])c2c([H])c3c(C([H])([H])[H])c([H])c([H])c([H])c3c([H])c2c1[H],192.261,0.0,0,0,4.301420000000002,66.19100000000002
[H]c1c([H])c([H])c([N+](=O)[O-])c(OC([H])([H])C([H])([H])[H])c1[H],167.164,52.370000000000005,0,3,1.9934999999999998,44.26540000000002
[H]c1c([H])c([H])c(N([H])[H])c(I)c1[H],219.025,26.02,1,1,1.8734,43.571400000000004
