Model,Fingerprint,FP_Count,AUC,Accuracy,F1,MCC,Sensitivity,Specificity,BA
MultiFPUnionPipeline,Pub+Kle+ECF,3,0.787474593,0.756355932,0.84605087,0.36187993,0.963414634,0.284722222,0.624068428
MultiFPUnionPipeline,Pub+Kle,2,0.787389905,0.76059322,0.845839018,0.376536266,0.945121951,0.340277778,0.642699864
MultiFPUnionPipeline,Pub+ECF+MAC,3,0.786934705,0.743644068,0.834924966,0.323798842,0.932926829,0.3125,0.622713415
MultiFPStacking,Pub+Kle+ECF,3,0.786934705,0.752118644,0.839506173,0.351888299,0.932926829,0.340277778,0.636602304
StackingEnsemble,,1,0.786871189,0.76059322,0.845839018,0.376536266,0.945121951,0.340277778,0.642699864
MultiFPVoting,Pub+Kle+ECF+MAC+Ato,5,0.786850017,0.75,0.840108401,0.341700616,0.945121951,0.305555556,0.625338753
MultiFPStacking,Pub+Kle+ECF+RDK,4,0.786765329,0.756355932,0.842681259,0.364011753,0.93902439,0.340277778,0.639651084
MultiFPVoting,ECF+MAC+RDK,3,0.78673357,0.754237288,0.843665768,0.354664287,0.954268293,0.298611111,0.626439702
MultiFPVoting,Pub+ECF+MAC+Ato+RDK,5,0.786722984,0.754237288,0.843665768,0.354664287,0.954268293,0.298611111,0.626439702
RandomForest,,1,0.786648882,0.754237288,0.842818428,0.355322465,0.948170732,0.3125,0.630335366
MultiFPStacking,Pub+Kle+ECF+Ato,4,0.786617124,0.752118644,0.839064649,0.352863909,0.929878049,0.347222222,0.638550136
MultiFPVoting,Pub+MAC+RDK,3,0.786267785,0.754237288,0.84109589,0.357901677,0.93597561,0.340277778,0.638126694
MultiFPStacking,Pub+Kle+ECF+Ato+RDK,5,0.785685552,0.762711864,0.846994536,0.383325289,0.945121951,0.347222222,0.646172087
MultiFPVoting,Pub+Kle+ECF+MAC,4,0.785643208,0.743644068,0.834924966,0.323798842,0.932926829,0.3125,0.622713415
MultiFPUnionPipeline,Kle+ECF,2,0.785410315,0.722457627,0.829648895,0.232971823,0.972560976,0.152777778,0.562669377
MultiFPVoting,Pub+Kle+ECF+RDK,4,0.785357385,0.754237288,0.844086022,0.354526314,0.957317073,0.291666667,0.62449187
MultiFPVoting,Pub+Kle+MAC+Ato,4,0.785325627,0.752118644,0.841248304,0.348794079,0.945121951,0.3125,0.628810976
MultiFPStacking,Pub+Kle+Ato+RDK,4,0.785124492,0.752118644,0.840381992,0.350167554,0.93902439,0.326388889,0.63270664
MultiFPVoting,Pub+Kle+ECF+Ato+RDK,5,0.785018631,0.75,0.841397849,0.340297026,0.954268293,0.284722222,0.619495257
MultiFPUnionPipeline,Pub+ECF,2,0.785008045,0.743644068,0.836265223,0.320822691,0.942073171,0.291666667,0.616869919
MultiFPVoting,Pub+MAC+Ato+RDK,4,0.784923357,0.756355932,0.844384303,0.361971688,0.951219512,0.3125,0.631859756
MultiFPUnionPipeline,Pub+MAC,2,0.784828083,0.756355932,0.839160839,0.372022613,0.914634146,0.395833333,0.65523374
MultiFPVoting,Kle+ECF+MAC+Ato,4,0.784806911,0.747881356,0.838095238,0.336081332,0.93902439,0.3125,0.625762195
MultiFPVoting,Pub+Kle+MAC,3,0.784616362,0.747881356,0.837209302,0.337963611,0.932926829,0.326388889,0.629657859
MultiFPStacking,Kle+ECF+RDK,3,0.784563432,0.754237288,0.841530055,0.357118809,0.93902439,0.333333333,0.636178862
MultiFPStacking,Pub+Kle+RDK,3,0.784267022,0.756355932,0.843537415,0.362786785,0.945121951,0.326388889,0.63575542
MultiFPStacking,Kle+ECF+Ato+RDK,4,0.784224678,0.758474576,0.843835616,0.370848458,0.93902439,0.347222222,0.643123306
MultiFPVoting,Pub+ECF+MAC,3,0.784203506,0.752118644,0.840381992,0.350167554,0.93902439,0.326388889,0.63270664
MultiFPVoting,MAC+RDK,2,0.783917683,0.76059322,0.845417237,0.377035824,0.942073171,0.347222222,0.644647696
MultiFPVoting,ECF+MAC+Ato+RDK,4,0.783875339,0.752118644,0.843373494,0.347305926,0.960365854,0.277777778,0.619071816
MultiFPUnionPipeline,Pub+Kle+MAC+Ato,4,0.783864753,0.764830508,0.848567531,0.389720622,0.948170732,0.347222222,0.647696477
MultiFPStacking,Pub+Kle+Ato,3,0.783854167,0.754237288,0.841530055,0.357118809,0.93902439,0.333333333,0.636178862
MultiFPStacking,Kle+ECF+Ato,3,0.783822409,0.752118644,0.83862069,0.353909581,0.926829268,0.354166667,0.640497967
MultiFPUnionPipeline,Pub+Kle+ECF+Ato,4,0.783780064,0.745762712,0.839572193,0.325303457,0.957317073,0.263888889,0.610602981
MultiFPStacking,Pub+ECF+RDK,3,0.783610688,0.747881356,0.837653479,0.336983198,0.93597561,0.319444444,0.627710027
MultiFPVoting,Pub+Kle+Ato+RDK,4,0.783494241,0.754237288,0.844086022,0.354526314,0.957317073,0.291666667,0.62449187
MultiFPVoting,Pub+ECF+MAC+Ato,4,0.783250762,0.758474576,0.845945946,0.368746701,0.954268293,0.3125,0.633384146
MultiFPVoting,Pub+Kle+RDK,3,0.783155488,0.745762712,0.837837838,0.327306596,0.945121951,0.291666667,0.618394309
MultiFPStacking,Pub+ECF+Ato+RDK,4,0.783144902,0.76059322,0.845839018,0.376536266,0.945121951,0.340277778,0.642699864
MultiFPStacking,Kle+ECF,2,0.782869665,0.752118644,0.83994528,0.350987682,0.93597561,0.333333333,0.634654472
MultiFPStacking,Pub+Kle,2,0.782710874,0.756355932,0.842681259,0.364011753,0.93902439,0.340277778,0.639651084
MultiFPVoting,Pub+ECF+RDK,3,0.782456809,0.747881356,0.839838493,0.333396825,0.951219512,0.284722222,0.617970867
MultiFPStacking,Pub+ECF+Ato,3,0.782425051,0.747881356,0.836762689,0.339016997,0.929878049,0.333333333,0.631605691
MultiFPStacking,Pub+ECF,2,0.782033367,0.747881356,0.835862069,0.341323285,0.923780488,0.347222222,0.635501355
MultiFPVoting,Kle+ECF+MAC,3,0.781991023,0.743644068,0.834924966,0.323798842,0.932926829,0.3125,0.622713415
MultiFPStacking,Kle+Ato,2,0.781969851,0.756355932,0.842249657,0.364759601,0.93597561,0.347222222,0.641598916
MultiFPUnionPipeline,Pub+MAC+Ato,3,0.781938093,0.766949153,0.848484848,0.397671212,0.93902439,0.375,0.657012195
