Model_Key,Model_Name,Fingerprint,FP_Count,TP,TN,FP,FN,Total_Samples
MultiFPStacking_4指纹_Pub+MAC+Ato+RDK,MultiFPStacking,Pub+MAC+Ato+RDK,4,308,49,95,20,472
MultiFPUnionPipeline_4指纹_Kle+ECF+MAC+Ato,MultiFPUnionPipeline,Kle+ECF+MAC+Ato,4,315,37,107,13,472
MultiFPVoting_4指纹_Kle+ECF+MAC+Ato,MultiFPVoting,Kle+ECF+MAC+Ato,4,308,45,99,20,472
MultiFPStacking_4指纹_Kle+ECF+MAC+Ato,MultiFPStacking,Kle+ECF+MAC+Ato,4,305,55,89,23,472
MultiFPUnionPipeline_4指纹_Kle+ECF+MAC+RDK,MultiFPUnionPipeline,Kle+ECF+MAC+RDK,4,312,43,101,16,472
MultiFPVoting_4指纹_Kle+ECF+MAC+RDK,MultiFPVoting,Kle+ECF+MAC+RDK,4,315,43,101,13,472
MultiFPStacking_4指纹_Kle+ECF+MAC+RDK,MultiFPStacking,Kle+ECF+MAC+RDK,4,305,53,91,23,472
MultiFPUnionPipeline_4指纹_Kle+ECF+Ato+RDK,MultiFPUnionPipeline,Kle+ECF+Ato+RDK,4,314,40,104,14,472
MultiFPVoting_4指纹_Kle+ECF+Ato+RDK,MultiFPVoting,Kle+ECF+Ato+RDK,4,313,39,105,15,472
MultiFPStacking_4指纹_Kle+ECF+Ato+RDK,MultiFPStacking,Kle+ECF+Ato+RDK,4,308,50,94,20,472
MultiFPUnionPipeline_4指纹_Kle+MAC+Ato+RDK,MultiFPUnionPipeline,Kle+MAC+Ato+RDK,4,319,34,110,9,472
MultiFPVoting_4指纹_Kle+MAC+Ato+RDK,MultiFPVoting,Kle+MAC+Ato+RDK,4,313,45,99,15,472
MultiFPStacking_4指纹_Kle+MAC+Ato+RDK,MultiFPStacking,Kle+MAC+Ato+RDK,4,307,51,93,21,472
MultiFPUnionPipeline_4指纹_ECF+MAC+Ato+RDK,MultiFPUnionPipeline,ECF+MAC+Ato+RDK,4,309,47,97,19,472
MultiFPVoting_4指纹_ECF+MAC+Ato+RDK,MultiFPVoting,ECF+MAC+Ato+RDK,4,315,40,104,13,472
MultiFPStacking_4指纹_ECF+MAC+Ato+RDK,MultiFPStacking,ECF+MAC+Ato+RDK,4,305,52,92,23,472
MultiFPUnionPipeline_5指纹_Pub+Kle+ECF+MAC+Ato,MultiFPUnionPipeline,Pub+Kle+ECF+MAC+Ato,5,315,46,98,13,472
MultiFPVoting_5指纹_Pub+Kle+ECF+MAC+Ato,MultiFPVoting,Pub+Kle+ECF+MAC+Ato,5,310,44,100,18,472
MultiFPStacking_5指纹_Pub+Kle+ECF+MAC+Ato,MultiFPStacking,Pub+Kle+ECF+MAC+Ato,5,305,51,93,23,472
MultiFPUnionPipeline_5指纹_Pub+Kle+ECF+MAC+RDK,MultiFPUnionPipeline,Pub+Kle+ECF+MAC+RDK,5,311,44,100,17,472
MultiFPVoting_5指纹_Pub+Kle+ECF+MAC+RDK,MultiFPVoting,Pub+Kle+ECF+MAC+RDK,5,313,43,101,15,472
MultiFPStacking_5指纹_Pub+Kle+ECF+MAC+RDK,MultiFPStacking,Pub+Kle+ECF+MAC+RDK,5,308,52,92,20,472
MultiFPUnionPipeline_5指纹_Pub+Kle+ECF+Ato+RDK,MultiFPUnionPipeline,Pub+Kle+ECF+Ato+RDK,5,313,42,102,15,472
MultiFPVoting_5指纹_Pub+Kle+ECF+Ato+RDK,MultiFPVoting,Pub+Kle+ECF+Ato+RDK,5,313,41,103,15,472
MultiFPStacking_5指纹_Pub+Kle+ECF+Ato+RDK,MultiFPStacking,Pub+Kle+ECF+Ato+RDK,5,310,50,94,18,472
MultiFPUnionPipeline_5指纹_Pub+Kle+MAC+Ato+RDK,MultiFPUnionPipeline,Pub+Kle+MAC+Ato+RDK,5,311,51,93,17,472
MultiFPVoting_5指纹_Pub+Kle+MAC+Ato+RDK,MultiFPVoting,Pub+Kle+MAC+Ato+RDK,5,314,43,101,14,472
MultiFPStacking_5指纹_Pub+Kle+MAC+Ato+RDK,MultiFPStacking,Pub+Kle+MAC+Ato+RDK,5,307,51,93,21,472
MultiFPUnionPipeline_5指纹_Pub+ECF+MAC+Ato+RDK,MultiFPUnionPipeline,Pub+ECF+MAC+Ato+RDK,5,300,53,91,28,472
MultiFPVoting_5指纹_Pub+ECF+MAC+Ato+RDK,MultiFPVoting,Pub+ECF+MAC+Ato+RDK,5,313,43,101,15,472
MultiFPStacking_5指纹_Pub+ECF+MAC+Ato+RDK,MultiFPStacking,Pub+ECF+MAC+Ato+RDK,5,308,49,95,20,472
MultiFPUnionPipeline_5指纹_Kle+ECF+MAC+Ato+RDK,MultiFPUnionPipeline,Kle+ECF+MAC+Ato+RDK,5,314,41,103,14,472
MultiFPVoting_5指纹_Kle+ECF+MAC+Ato+RDK,MultiFPVoting,Kle+ECF+MAC+Ato+RDK,5,312,42,102,16,472
MultiFPStacking_5指纹_Kle+ECF+MAC+Ato+RDK,MultiFPStacking,Kle+ECF+MAC+Ato+RDK,5,307,52,92,21,472
MultiFPUnionPipeline_六指纹_Pub+Kle+ECF+MAC+Ato+RDK,MultiFPUnionPipeline,Pub+Kle+ECF+MAC+Ato+RDK,6,312,48,96,16,472
MultiFPVoting_六指纹_Pub+Kle+ECF+MAC+Ato+RDK,MultiFPVoting,Pub+Kle+ECF+MAC+Ato+RDK,6,313,42,102,15,472
MultiFPStacking_六指纹_Pub+Kle+ECF+MAC+Ato+RDK,MultiFPStacking,Pub+Kle+ECF+MAC+Ato+RDK,6,308,50,94,20,472
